43,Heinrich Keller,1758-01-01,1788-01-01,deutscher Bühnenschriftsteller und Schauspieler; war zunächst evangelischer Theologe,48.95,10.58333,Q94911670,NULL,NULL,NULL,NULL
44,Aloys Hofmann,1779-01-01,1832-01-01,NULL,49.2061,12.0409,Q53502731,NULL,NULL,NULL,NULL
45,Franz Friedrich Graf Treuberg,1907/8/6,1982/10/18,"deutscher Dramaturg, Drehbuchautor und Regisseur",48.6042,10.8145,Q108906,NULL,NULL,NULL,NULL
46,Mechtilde Lichnowsky,1879-03-08,1958/6/4,deutsche Schriftstellerin und Kunstsammlerin,48.3828,13.2655,Q95272,http://commons.wikimedia.org/wiki/Special:FilePath/Mechtilde%20Lichnowsky%201921.jpg,NULL,Public domain,1921
47,Patrick Süskind,1949/3/26,NULL,deutscher Schriftsteller und Drehbuchautor (geboren 1949),47.86575,11.33506,Q105994,NULL,NULL,NULL,NULL
48,Peter Klewitz,1946/12/18,2014/5/21,NULL,49.67472,12.24056,Q95350118,NULL,NULL,NULL,NULL
49,Christian Morgenstern,1871-05-06,1914/3/31,deutscher Dichter und Schriftsteller,48.15025,11.56738,Q44652,http://commons.wikimedia.org/wiki/Special:FilePath/Morgenstern-h420.jpg,NULL,Public domain,NULL
50,Peter Max Ernst Streck,1879-11-13,NULL,NULL,48.1375,11.575,Q95316396,NULL,NULL,NULL,NULL
51,Eugen Hertel,1853-01-01,NULL,NULL,48.1375,11.575,Q95263784,NULL,NULL,NULL,NULL
52,Maja DasGupta,1973/12/17,NULL,NULL,48.1375,11.575,Q95212195,NULL,NULL,NULL,NULL
53,Julia Reichert,1950/1/1,NULL,NULL,48.1375,11.575,Q95199423,NULL,NULL,NULL,NULL
54,Cornelia Groß,1977/1/1,NULL,NULL,48.1375,11.575,Q95183947,NULL,NULL,NULL,NULL
55,Denis Johnson,1949/7/1,2017/5/24,amerikanischer Schriftsteller,48.1375,11.575,Q340016,http://commons.wikimedia.org/wiki/Special:FilePath/Oliver%20Mark%20-%20Denis%20Johnson%2C%20Berlin%202003.jpg,NULL,CC BY-SA 4.0,NULL
56,Franz Neumayr,1697-01-17,1765-05-01,"deutscher katholischer Theologe, Jesuit, Prediger, Dramatiker und Schriftsteller",48.1375,11.575,Q111726,http://commons.wikimedia.org/wiki/Special:FilePath/Neumayr%20Franz%20Karl%202.jpg,zeitgenössischer Stecher,Public domain,1760
57,Albert Ostermaier,1967/11/30,NULL,deutscher Schriftsteller,48.1375,11.575,Q106795,http://commons.wikimedia.org/wiki/Special:FilePath/Albert%20Ostermaier%20-%20Erlangen%202011.jpg,Amrei-Marie,CC BY-SA 3.0,2011
58,Nora Abdel-Maksoud,1983/1/1,NULL,"deutsche Schauspielerin, Dramatikerin und Regisseurin",48.1375,11.575,Q95193642,http://commons.wikimedia.org/wiki/Special:FilePath/Nora-abdel-maksoud-monacensia-2024.jpg,Kaethe17,CC BY 4.0,2024
59,Friedrich Artour,1800-01-01,1831-01-01,"Schauspieler, Regisseur und Übersetzer",48.1375,11.575,Q94933103,http://commons.wikimedia.org/wiki/Special:FilePath/Friedrich%20Artour%20Litho.jpg,Josef Kriehuber (1800 -1876),Public domain,circa 1825
60,Theodor Graf von Morawitzky,1735-01-01,1810-01-01,"1735 bis 1810 Geburtsort München Sterbeort München Beruf/Funktion bayerischer Justiz- und Kultusminister Konfession katholisch Namensvarianten Morawitzky, Theodor Heinrich Graf von Topor-Morawitzky, Theodor Heinrich Graf von Topor, Theodor Morawitz",48.1375,11.575,Q55847940,NULL,NULL,NULL,NULL
61,Anton Clemens von Toerring-Seefeld,1725-07-22,1812-02-06,bayerischer Adeliger und Obersthofmeister,48.1375,11.575,Q54553888,http://commons.wikimedia.org/wiki/Special:FilePath/Anton%20Graf%20von%20T%C3%B6rring-Seefeld.jpg,Johann Georg Edlinger,Public domain,18th century
62,Paul Wühr,1927/7/10,2016/7/12,deutscher Schriftsteller,48.1375,11.575,Q97050,NULL,NULL,NULL,NULL
63,Friedrich Karl Schubert,1832-11-06,1892-02-01,deutscher Schriftsteller und Offizier,48.1375,11.575,Q16721062,NULL,NULL,NULL,NULL
64,Julius Schaumberger,1858-08-29,1924/8/15,"deutscher Dramatiker, Autor und Redakteur",48.1375,11.575,Q12320514,http://commons.wikimedia.org/wiki/Special:FilePath/Julius%20Schaumberger.jpg,NULL,Public domain,1901
65,Dimitri Frenkel Frank,1928/4/1,1988/10/18,niederländischer Filmregisseur,48.1375,11.575,Q2660875,http://commons.wikimedia.org/wiki/Special:FilePath/Dimitri%20Frenkel%20Frank%20%281966%29.jpg,Eric Koch for Anefo,CC BY-SA 3.0 nl,1966
66,Regine Ahrem,1958/1/1,NULL,deutsche Autorin und Lektorin,48.1375,11.575,Q2138049,NULL,NULL,NULL,NULL
67,Kurt Wilhelm,1923/3/8,2009/12/25,deutscher Regisseur und Autor,48.1375,11.575,Q1794270,http://commons.wikimedia.org/wiki/Special:FilePath/Kurt%20Wilhelm.jpg,Dieter Schnöpf,CC BY-SA 3.0,2003
68,Joseph August von Toerring,1753-12-01,1826-04-09,bayerischer Politiker und Dramatiker,48.1375,11.575,Q1675559,http://commons.wikimedia.org/wiki/Special:FilePath/Joseph%20August%20von%20Toerring1.jpg,"zeitgenössischer Stecher, 1820",Public domain,2014
69,Joseph Anton von Destouches,1767-03-12,1832-05-13,deutscher Dramatiker und Beamter,48.1375,11.575,Q1567935,NULL,NULL,NULL,NULL
70,Dietrich Brüggemann,1976/2/23,NULL,deutscher Filmregisseur und Drehbuchautor sowie Musiker,48.1375,11.575,Q1223694,http://commons.wikimedia.org/wiki/Special:FilePath/MJK%2069237%20Dietrich%20Br%C3%BCggemann%20%28Medienboard%20Party%202020%29.jpg,Martin Kraft,CC BY-SA 4.0,2020
71,Savyon Liebrecht,1948/1/13,NULL,israelische Autorin,48.1375,11.575,Q467573,http://commons.wikimedia.org/wiki/Special:FilePath/Savyon%20Liebrecht.jpg,ניר ודל,CC BY-SA 4.0,2016
72,Wilhelmine von Hillern,1836-03-11,1916/12/25,deutsche Schriftstellerin und Schauspielerin,48.1375,11.575,Q88281,http://commons.wikimedia.org/wiki/Special:FilePath/Wilhelmine%20von%20Hillern%20jung.jpg,Adolf Neumann,Public domain,circa 1865
73,Leopold Ahlsen,1927/1/12,2018/1/10,deutscher Schriftsteller,48.1375,11.575,Q78391,http://commons.wikimedia.org/wiki/Special:FilePath/Leopold%20Alsen.jpg,Dieter Schnöpf,CC BY-SA 4.0,2002
74,Karl Valentin,1882-06-04,1948/2/9,"deutscher Komiker, Volkssänger, Autor und Filmproduzent",48.1375,11.575,Q45255,http://commons.wikimedia.org/wiki/Special:FilePath/Karl%20Valentin%20by%20Eugen%20Rosenfeld%20%281870%20-%201940%29.jpg,Eugen Rosenfeld,Public domain,20th century
75,Lion Feuchtwanger,1884-07-07,1958/12/21,deutscher Schriftsteller,48.1375,11.575,Q77024,http://commons.wikimedia.org/wiki/Special:FilePath/Lion%20Feuchtwanger.jpg,NULL,Public domain,1933
76,Franz Xaver Kroetz,1946/2/25,NULL,deutscher Schriftsteller und Schauspieler,48.1375,11.575,Q45239,NULL,NULL,NULL,NULL
77,Herbert Achternbusch,1938/11/23,2022/1/10,"deutscher Schriftsteller, Schauspieler, Filmregisseur und Maler",48.1375,11.575,Q45221,http://commons.wikimedia.org/wiki/Special:FilePath/Herbert%20Achternbusch%208252.jpg,Harald Bischoff,CC BY-SA 3.0,2015
78,Marius von Mayenburg,1972/2/21,NULL,deutscher Dramaturg und Autor,48.1375,11.575,Q65168,NULL,NULL,NULL,NULL
79,Carole Buggé,1953/1/1,NULL,NULL,49.45389,11.0775,Q112376445,NULL,NULL,NULL,NULL
80,Ludwig Heller,1872-06-09,1919/10/1,NULL,49.45389,11.0775,Q94881669,NULL,NULL,NULL,NULL
81,Ewald Arenz,1965/11/26,NULL,deutscher Schriftsteller,49.45389,11.0775,Q123188,http://commons.wikimedia.org/wiki/Special:FilePath/Ewald%20Arenz%202017.jpg,Raffael Movieman,CC BY-SA 4.0,2017
82,Peter Probst,1510-01-01,1576-01-01,Meistersinger und Dramatiker,49.45389,11.0775,Q55936687,NULL,NULL,NULL,NULL
83,Fitzgerald Kusz,1944/11/17,NULL,deutscher Schriftsteller,49.45389,11.0775,Q1421351,http://commons.wikimedia.org/wiki/Special:FilePath/Fitzgerald%20Kusz.JPG,Mef.ellingen,CC BY-SA 3.0,2012
84,Hans Sachs,1494-11-14,1576-01-29,"Nürnberger Schuhmacher, Spruchdichter, Meistersinger und Dramatiker",49.45389,11.0775,Q19543,http://commons.wikimedia.org/wiki/Special:FilePath/Hans%20Sachs.jpg,NULL,Public domain,NULL
85,Jakob Ayrer,1543-03-01,1605-03-26,deutscher Dramatiker und Autor von Fastnachtsspielen,49.45389,11.0775,Q71325,http://commons.wikimedia.org/wiki/Special:FilePath/Ayrer-jakob-.jpg,NULL,Public domain,before 1800
86,Pius Alexander Wolff,1782-05-03,1828-08-28,deutscher Schauspieler und Schriftsteller,48.36889,10.89778,Q121270,http://commons.wikimedia.org/wiki/Special:FilePath/PiusAlexanderWolff2.jpg,NULL,Public domain,before 1828
87,Friedrich Märker,1893-03-07,1985/4/27,deutscher Schriftsteller und Rassetheoretiker,48.36889,10.89778,Q107859,NULL,NULL,NULL,NULL
88,Egon Hedeberg,1857-01-01,1911/9/13,deutscher Schriftsteller und Bühnenschriftsteller,48.36889,10.89778,Q94765132,NULL,NULL,NULL,NULL
89,Michel Decar,1987/1/1,NULL,"deutscher Schriftsteller, Dramatiker und Regisseur",48.36889,10.89778,Q20752416,http://commons.wikimedia.org/wiki/Special:FilePath/Michel%20Decar.jpg,Amrei-Marie,CC BY-SA 4.0,2019
90,Bertolt Brecht,1898-02-10,1956/8/14,deutscher Dramatiker und Lyriker (1898–1956),48.36889,10.89778,Q38757,http://commons.wikimedia.org/wiki/Special:FilePath/Bundesarchiv%20Bild%20183-W0409-300%2C%20Bertolt%20Brecht.jpg,"Kolbe, Jörg",CC BY-SA 3.0 de,1954
91,Anthes Kiendl,1903/1/1,NULL,NULL,49.01667,12.08333,Q95339476,NULL,NULL,NULL,NULL
92,Xaver Geisenhofer,1897-01-01,1960/1/1,NULL,49.01667,12.08333,Q94882440,NULL,NULL,NULL,NULL
93,Oscar Walther,1851-07-15,1901/5/7,NULL,49.01667,12.08333,Q94842215,NULL,NULL,NULL,NULL
94,Konstantin Küspert,1982/1/1,NULL,deutscher Dramatiker und Dramaturg,49.01667,12.08333,Q33135835,NULL,NULL,NULL,NULL
95,Georg Britting,1891-02-17,1964/4/27,deutscher Schriftsteller und Dichter,49.01667,12.08333,Q90115,http://commons.wikimedia.org/wiki/Special:FilePath/Britting10.jpg,Schuldt,CC BY-SA 3.0 de,NULL
96,Eva Demski,1944/5/12,NULL,deutsche Schriftstellerin,49.01667,12.08333,Q88795,http://commons.wikimedia.org/wiki/Special:FilePath/Eva-demski.jpg,Ute Dietz,CC BY-SA 3.0,NULL
97,Simon Kubisch,1983/1/1,NULL,NULL,49.79444,9.92944,Q95339846,NULL,NULL,NULL,NULL
98,Eugen Diem,1896-02-08,1993/2/10,1939-45 lebte er als Emigrant unter fremdem Namen in Jugoslawien,49.79444,9.92944,Q55674159,NULL,NULL,NULL,NULL
99,Reinhold Batberger,1946/1/1,NULL,deutscher Schriftsteller,49.79444,9.92944,Q2141315,NULL,NULL,NULL,NULL
100,Max Mohr,1891-10-17,1937/11/13,deutscher Dramatiker und Erzähler,49.79444,9.92944,Q1563859,NULL,NULL,NULL,NULL
101,Arthur Drey,1890-09-09,1965/7/1,"Lyriker, Dramatiker, Essayist",49.79444,9.92944,Q709161,NULL,NULL,NULL,NULL
102,Leonhard Frank,1882-09-04,1961/8/18,deutscher Schriftsteller,49.79444,9.92944,Q77069,http://commons.wikimedia.org/wiki/Special:FilePath/Leonhard%20Frank%201929.jpg,NULL,Public domain,before 1929
103,Jehuda Amichai,1924/5/3,2000/9/22,deutsch-israelischer Lyriker,49.79444,9.92944,Q58612,http://commons.wikimedia.org/wiki/Special:FilePath/%D7%A2%D7%9E%D7%99%D7%97%D7%99%20%D7%A7%D7%95%D7%A8%D7%90%20%D7%91%D7%AA%D7%9E%D7%95%D7%9C.jpg,Yair Medina (יאיר מדינה) The original uploader was Karlo681 at Hebrew Wikipedia.,CC BY-SA 3.0,1994
104,Marieluise Fleißer,1901/11/23,1974/2/2,"deutsche Schriftstellerin, Dramatikerin und Erzählerin",48.76306,11.425,Q62985,http://commons.wikimedia.org/wiki/Special:FilePath/Statue%20von%20Marieluise%20Flei%C3%9Fer.jpg,Chrisi1964,CC BY-SA 4.0,2016
105,Henning Fritsches,1973/1/1,NULL,NULL,49.47833,10.99028,Q95343799,NULL,NULL,NULL,NULL
106,Luise Hölder,1763-01-01,1843-01-01,deutsche Schriftstellerin,49.47833,10.99028,Q30500554,NULL,NULL,NULL,NULL
107,Eduard Trautner,1890-10-13,1978/8/12,NULL,49.59639,11.00444,Q25894279,NULL,NULL,NULL,NULL
108,Karl Siegmund von Seckendorff,1744-11-26,1785-04-26,deutscher Dichter,49.59639,11.00444,Q106822,NULL,NULL,NULL,NULL
109,Esther Becker,1980/1/1,NULL,"deutsche Schriftstellerin, Dramatikerin und Performerin",49.59639,11.00444,Q63210371,NULL,NULL,NULL,NULL
